USERID,GENDER,RACE,AGE,PROVINCE,CHANNEL2,DURATION2,VIEW_DATE,VIEW_TIME,MONTH_NAME,DAY_OF_MONTH,DAY_NAME,DAY_TYPE,TIME_BUCKET,DURATION_BUCKET,AGE_BUCKET
771791,male,black,34,Gauteng,Channel O,00:02:54.000,2016-03-14,13:51:00.000,Mar,14,Mon,Weekday,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
771791,male,black,34,Gauteng,M-Net,00:01:43.000,2016-03-06,07:02:00.000,Mar,6,Sun,Weekend,Early Morning (06:00 – 08:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
819259,female,white,10,Western Cape,Supersport Live Events,00:01:44.000,2016-02-26,17:53:00.000,Feb,26,Fri,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Kids / Tweens (0–12)
2285528,male,None,26,Western Cape,ICC Cricket World Cup 2011,00:53:50.000,2016-03-15,12:20:00.000,Mar,15,Tue,Weekday,Daytime (09:00 – 15:59),Standard Half-Hour Programs (00:30:00 – 00:59:59),Adults (25–34)
868892,male,black,20,Gauteng,Trace TV,00:05:54.000,2016-03-12,16:47:00.000,Mar,12,Sat,Weekend,Early Evening (16:00 – 19:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
808971,male,black,36,Gauteng,Boomerang,00:00:14.000,2016-02-08,12:45:00.000,Feb,8,Mon,Weekday,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
868892,male,black,20,Gauteng,Channel O,00:01:42.000,2016-03-10,12:50:00.000,Mar,10,Thu,Weekday,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
866251,male,black,30,Gauteng,Boomerang,00:04:31.000,2016-03-10,21:13:00.000,Mar,10,Thu,Weekday,Prime Time (20:00 – 22:59),Short Form Programs (00:03:00 – 00:14:59),Adults (25–34)
779369,male,black,36,Gauteng,CNN,00:20:39.000,2016-02-11,21:35:00.000,Feb,11,Thu,Weekday,Prime Time (20:00 – 22:59),Short-Half Hour Programs (00:15:00 – 00:29:59),Mid Adults (35–44)
779369,male,black,36,Gauteng,E! Entertainment,00:06:16.000,2016-01-20,07:20:00.000,Jan,20,Wed,Weekday,Early Morning (06:00 – 08:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
779369,male,black,36,Gauteng,CNN,00:13:19.000,2016-01-18,15:06:00.000,Jan,18,Mon,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
1281997,female,coloured,14,Free State,Cartoon Network,00:00:35.000,2016-02-20,18:51:00.000,Feb,20,Sat,Weekend,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Teens (13–17)
615057,female,black,25,Limpopo,Channel O,00:14:12.000,2016-01-10,09:34:00.000,Jan,10,Sun,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Adults (25–34)
786055,female,white,25,Gauteng,Channel O,00:01:03.000,2016-01-19,20:42:00.000,Jan,19,Tue,Weekday,Prime Time (20:00 – 22:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
786055,female,white,25,Gauteng,DStv Events 1,00:02:25.000,2016-01-18,19:49:00.000,Jan,18,Mon,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Adults (25–34)
850656,male,black,26,Mpumalanga,Africa Magic,00:00:17.000,2016-03-05,23:12:00.000,Mar,5,Sat,Weekend,Late Night (23:00 – 00:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
850656,male,black,26,Mpumalanga,Channel O,00:00:00.000,2016-03-06,07:25:00.000,Mar,6,Sun,Weekend,Early Morning (06:00 – 08:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
850656,male,black,26,Mpumalanga,Africa Magic,00:00:00.000,2016-03-06,09:09:00.000,Mar,6,Sun,Weekend,Daytime (09:00 – 15:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Adults (25–34)
2368365,male,coloured,27,Limpopo,ICC Cricket World Cup 2011,00:38:12.000,2016-03-30,13:17:00.000,Mar,30,Wed,Weekday,Daytime (09:00 – 15:59),Standard Half-Hour Programs (00:30:00 – 00:59:59),Adults (25–34)
764296,male,coloured,23,Western Cape,E! Entertainment,00:02:26.000,2016-02-04,10:42:00.000,Feb,4,Thu,Weekday,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
764296,male,coloured,23,Western Cape,Trace TV,00:00:00.000,2016-02-01,22:10:00.000,Feb,1,Mon,Weekday,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Young Adults (18–24)
779373,male,black,40,Limpopo,CNN,00:06:27.000,2016-02-28,07:58:00.000,Feb,28,Sun,Weekend,Early Morning (06:00 – 08:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
771793,female,indian_asian,40,Western Cape,Supersport Live Events,00:04:56.000,2016-01-05,23:33:00.000,Jan,5,Tue,Weekday,Late Night (23:00 – 00:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
771793,female,indian_asian,40,Western Cape,Supersport Live Events,00:00:00.000,2016-01-10,06:43:00.000,Jan,10,Sun,Weekend,Early Morning (06:00 – 08:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
771793,female,indian_asian,40,Western Cape,Trace TV,00:00:42.000,2016-02-18,22:23:00.000,Feb,18,Thu,Weekday,Prime Time (20:00 – 22:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
771793,female,indian_asian,40,Western Cape,Trace TV,00:02:33.000,2016-02-12,02:38:00.000,Feb,12,Fri,Weekday,Overnight (01:00 – 05:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
1106084,male,black,37,Gauteng,Channel O,00:11:39.000,2016-03-22,20:50:00.000,Mar,22,Tue,Weekday,Prime Time (20:00 – 22:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
1106084,male,black,37,Gauteng,Supersport Live Events,00:00:54.000,2016-03-05,19:30:00.000,Mar,5,Sat,Weekend,Early Evening (16:00 – 19:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
1106084,male,black,37,Gauteng,ICC Cricket World Cup 2011,00:11:24.000,2016-03-06,11:20:00.000,Mar,6,Sun,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
1106084,male,black,37,Gauteng,Trace TV,00:03:24.000,2016-03-09,06:54:00.000,Mar,9,Wed,Weekday,Early Morning (06:00 – 08:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
1106084,male,black,37,Gauteng,Channel O,00:04:39.000,2016-03-09,20:00:00.000,Mar,9,Wed,Weekday,Prime Time (20:00 – 22:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
868895,male,coloured,23,Western Cape,Trace TV,00:13:48.000,2016-03-15,01:35:00.000,Mar,15,Tue,Weekday,Overnight (01:00 – 05:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
868895,male,coloured,23,Western Cape,ICC Cricket World Cup 2011,00:38:02.000,2016-03-12,14:18:00.000,Mar,12,Sat,Weekend,Daytime (09:00 – 15:59),Standard Half-Hour Programs (00:30:00 – 00:59:59),Young Adults (18–24)
868895,male,coloured,23,Western Cape,Trace TV,00:01:09.000,2016-03-12,14:19:00.000,Mar,12,Sat,Weekend,Daytime (09:00 – 15:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
868895,male,coloured,23,Western Cape,ICC Cricket World Cup 2011,00:02:00.000,2016-03-16,02:02:00.000,Mar,16,Wed,Weekday,Overnight (01:00 – 05:59),Very Short Engagement (00:01:00 – 00:02:59),Young Adults (18–24)
868895,male,coloured,23,Western Cape,Channel O,00:03:18.000,2016-03-16,02:14:00.000,Mar,16,Wed,Weekday,Overnight (01:00 – 05:59),Short Form Programs (00:03:00 – 00:14:59),Young Adults (18–24)
808934,male,indian_asian,36,Kwazulu Natal,Supersport Live Events,00:12:40.000,2016-03-24,14:17:00.000,Mar,24,Thu,Weekday,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,Boomerang,00:05:30.000,2016-03-11,18:58:00.000,Mar,11,Fri,Weekday,Early Evening (16:00 – 19:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,Supersport Live Events,00:00:00.000,2016-02-06,08:56:00.000,Feb,6,Sat,Weekend,Early Morning (06:00 – 08:59),Instant Exit / Drop-Off (00:00:01 – 00:00:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,Trace TV,00:04:03.000,2016-02-06,12:38:00.000,Feb,6,Sat,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,Supersport Live Events,00:03:38.000,2016-02-06,21:55:00.000,Feb,6,Sat,Weekend,Prime Time (20:00 – 22:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,Trace TV,00:04:57.000,2016-03-06,14:38:00.000,Mar,6,Sun,Weekend,Daytime (09:00 – 15:59),Short Form Programs (00:03:00 – 00:14:59),Mid Adults (35–44)
808934,male,indian_asian,36,Kwazulu Natal,SuperSport Blitz,00:02:42.000,2016-02-12,19:16:00.000,Feb,12,Fri,Weekday,Early Evening (16:00 – 19:59),Very Short Engagement (00:01:00 – 00:02:59),Mid Adults (35–44)
